,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
2118,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,7491.0,4.10721,120.678,16.4244,0.0
2126,25.0,landslide,rain,2,unknown,IE,4143.0,3.8547,-9.43,52.438,0.0
2133,10.0,rock_fall,continuous_rain,2,above_road,AU,1335.0,17.73757,149.8098,-32.8091,0.0
2134,10.0,mudslide,downpour,3,unknown,CN,179038.0,1.73651,113.02,25.79,0.0
2137,25.0,landslide,tropical_cyclone,2,unknown,LK,3545.0,4.11134,80.6953,6.9366,0.0
2139,5.0,mudslide,rain,1,unknown,US,1126.0,5.61303,-71.9677,44.146,0.0
2141,50.0,landslide,downpour,3,unknown,IN,4157.0,45.49031,94.25,27.8776,0.0
2159,25.0,landslide,rain,2,unknown,US,4561.0,29.26206,-123.7121,44.0106,0.0
2160,25.0,landslide,downpour,3,unknown,CN,0.0,12.54759,104.95,32.4167,0.0
2161,5.0,landslide,rain,2,unknown,US,6903.0,3.38725,-82.4902,37.4996,0.0
2163,5.0,landslide,downpour,3,unknown,IN,899094.0,4.21344,91.7356,26.1475,0.0
2167,10.0,landslide,downpour,2,unknown,PH,0.0,6.48126,124.264,13.6862,0.0
2169,50.0,landslide,snowfall_snowmelt,2,unknown,IN,7317.0,3.88578,75.2006,33.2537,0.0
2173,5.0,complex,rain,2,unknown,JM,1371.0,4.57363,-77.7405,18.1257,0.0
2182,5.0,landslide,rain,3,unknown,ID,0.0,3.81355,108.1008,-6.9758,0.0
2183,5.0,landslide,rain,2,unknown,AU,6535.0,11.17545,153.2298,-28.0667,0.0
2188,1.0,landslide,continuous_rain,2,unknown,LK,47587.0,3.56016,81.12046509,6.957291003,0.0
2199,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,0.0,1.15661,123.08,10.26,0.0
2201,5.0,landslide,downpour,2,unknown,GB,22291.0,0.41765,-2.5808,56.5622,0.0
2204,12.674393057233878,mudslide,downpour,2,unknown,CA,1148.0,52.89049,-136.5506,60.8228,0.0
2205,5.0,landslide,rain,2,unknown,TZ,17754.0,5.50629,35.8907,-3.3784,0.0
2211,5.0,landslide,rain,2,unknown,US,42808.0,1.15586,-117.2619,32.8464,0.0
2218,10.0,landslide,downpour,2,unknown,ZA,20410.0,19.23163,30.8833,-30.05,0.0
2225,5.0,landslide,downpour,3,unknown,CN,0.0,70.56602,109.4875,36.5851,0.0
2229,5.0,landslide,rain,1,unknown,US,2933.0,9.96508,-122.3494,38.4909,0.0
2236,10.0,mudslide,downpour,2,unknown,KE,1073.0,15.15678,35.2843,1.1971,0.0
2239,1.0,mudslide,rain,1,unknown,US,90927.0,2.63615,-122.197,47.5023,0.0
2247,10.0,landslide,downpour,2,unknown,NP,20908.0,32.08945,81.6631,29.1309,0.0
